date,pm25,o3,no2,co,city,pm10,so2
2023-08-25,59, 9, 26, 7,Hanoi, 55, 19
2023-08-25,24, 26, 13, 2,New York,,
2023-08-26,79, 8, 28, 8,Hanoi, 43, 20
2023-08-26,32, 35, 15, 3,New York,,
2023-08-27,50, 12, 28, 9,Hanoi, 54, 20
2023-08-27,38, 33, 6, 2,New York,,
2023-08-28,71, 9, 23, 7,Hanoi, 35, 20
2023-08-28,28, 26, 9, 2,New York,,
2023-08-29,45, 10, 22, 6,Hanoi, 46, 19
2023-08-29,39, 29, 7, 2,New York,,
2023-08-30,62, 20, 22, 5,Hanoi, 41, 19
2023-08-30,25, 39, 9, 2,New York,,
2023-08-31,53, 26, 29, 6,Hanoi, 55, 19
2023-08-31,24, 28, 5, 1,New York,,
2023-09-01,88, 25, 26, 5,Hanoi, 64, 19
2023-09-01,16, 34, 6, 1,New York,,
2023-09-02,104, 23, 23, 5,Hanoi, 60, 19
2023-09-02,19, 43, 9, 2,New York,,
2023-09-03,104, 15, 24, 5,Hanoi, 55, 20
2023-09-03,25, 45, 8, 2,New York,,
2023-09-04,81, 9, 18, 3,Hanoi, 26, 19
2023-09-04,43, 39, 8, 3,New York,,
2023-09-05,37, 10, 25, 7,Hanoi, 42, 20
2023-09-05,59, 43, 11, 3,New York,,
2023-09-06,57, 12, 25, 6,Hanoi, 64, 20
2023-09-06,59, 56, 10, 3,New York,,
2023-09-07,98, 20, 22, 6,Hanoi, 58, 20
2023-09-07,61, 60, 12, 2,New York,,
2023-09-08,92, 14, 19, 4,Hanoi, 43, 19
2023-09-08,56, 36, 17, 3,New York,,
2023-09-09,59, 12, 23, 7,Hanoi, 49, 20
2023-09-09,54, 34, 13, 3,New York,,
2023-09-10,70, 12, 22, 6,Hanoi, 59, 19
2023-09-10,57, 24, 11, 2,New York,,
2023-09-11,98, 11, 27, 8,Hanoi, 61, 20
2023-09-11,36, 29, 14, 2,New York,,
2023-09-12,90, 7, 33, 9,Hanoi, 60, 20
2023-09-12,33, 39, 10, 2,New York,,
2023-09-13,93, 9, 17, 4,Hanoi, 32, 19
2023-09-13,31, 32, 12, 2,New York,,
2023-09-14,43, 8, 15, 3,Hanoi, 13, 19
2023-09-14,28, 29, 6, 2,New York,,
2023-09-15,31, 9, 19, 5,Hanoi, 4, 19
2023-09-15,21, 21, 4, 2,New York,,
2023-09-16,51, 8, 24, 7,Hanoi, , 19
2023-09-16,23, 26, 5, 1,New York,,
2023-09-17,77, 7, 26, 7,Hanoi, , 20
2023-09-17,26, 39, 8, 2,New York,,
2023-09-18,78, 7, 30, 10,Hanoi, , 20
2023-09-18,35, 22, 13, 2,New York,,
2023-09-19,65, 7, 25, 8,Hanoi, 14, 19
2023-09-19,26, 24, 7, 2,New York,,
2023-09-20,50, 7, 21, 7,Hanoi, 21, 20
2023-09-20,34, 35, 11, 2,New York,,
2023-09-21,31, 6, 21, 7,Hanoi, 25, 20
2023-09-21,32, 29, 9, 2,New York,,
2023-09-22,35, 6, 23, 6,Hanoi, 24, 20
2023-09-22,28, 23, 7, 2,New York,,
2023-09-23,35, 6, 25, 7,Hanoi, 26, 20
2023-09-23,28, 23, 1, 1,New York,,
2023-09-24,37, 6, 28, 7,Hanoi, 38, 20
2023-09-24,17, 30, 1, 1,New York,,
2023-09-25,58, 8, 24, 6,Hanoi, 51, 20
2023-09-25,11, 29, 2, 1,New York,,
2023-09-26,86, 6, 21, 5,Hanoi, 48, 20
2023-09-26,24, 16, 4, 2,New York,,
